chart_type,file,source_path,problem_codes,model_axis_diff_codes,x_axis_type,x_gt_axis_type,y_axis_type,y_gt_axis_type,x_ticks,y_ticks,x_ticks_encrypted,y_ticks_encrypted,expected_x_ticks_encrypted,expected_y_ticks_encrypted,grid_path,encrypted_grid_path,ticks_json_path,error
line,line_000.png,f:\program\test-demo\backend\charts\line\line_000.png,,,text,text,numeric,numeric,6,7,6,13,6,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_000_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_000_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_000_ticks.json,
line,line_001.png,f:\program\test-demo\backend\charts\line\line_001.png,,,text,text,numeric,numeric,5,7,5,13,5,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_001_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_001_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_001_ticks.json,
line,line_002.png,f:\program\test-demo\backend\charts\line\line_002.png,,,text,text,numeric,numeric,5,5,5,9,5,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_002_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_002_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_002_ticks.json,
line,line_003.png,f:\program\test-demo\backend\charts\line\line_003.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,6,8,11,15,11,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_003_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_003_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_003_ticks.json,
line,line_004.png,f:\program\test-demo\backend\charts\line\line_004.png,,,text,text,numeric,numeric,6,6,6,11,6,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_004_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_004_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_004_ticks.json,
line,line_005.png,f:\program\test-demo\backend\charts\line\line_005.png,,,text,text,numeric,numeric,12,8,12,15,12,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_005_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_005_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_005_ticks.json,
line,line_006.png,f:\program\test-demo\backend\charts\line\line_006.png,,,text,text,numeric,numeric,5,6,5,11,5,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_006_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_006_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_006_ticks.json,
line,line_007.png,f:\program\test-demo\backend\charts\line\line_007.png,,,text,text,numeric,numeric,5,5,5,9,5,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_007_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_007_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_007_ticks.json,
line,line_008.png,f:\program\test-demo\backend\charts\line\line_008.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,5,5,9,9,9,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_008_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_008_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_008_ticks.json,
line,line_009.png,f:\program\test-demo\backend\charts\line\line_009.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,7,9,13,17,13,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_009_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_009_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_009_ticks.json,
line,line_010.png,f:\program\test-demo\backend\charts\line\line_010.png,,,text,text,numeric,numeric,2,8,2,15,2,15,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_010_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_010_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_010_ticks.json,
line,line_011.png,f:\program\test-demo\backend\charts\line\line_011.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,8,5,15,9,15,9,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_011_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_011_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_011_ticks.json,
line,line_012.png,f:\program\test-demo\backend\charts\line\line_012.png,,,text,text,numeric,numeric,3,9,3,17,3,17,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_012_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_012_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_012_ticks.json,
line,line_013.png,f:\program\test-demo\backend\charts\line\line_013.png,,x_axis_type_diff_from_json,numeric,text,numeric,numeric,5,6,9,11,9,11,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_013_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_013_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_013_ticks.json,
line,line_014.png,f:\program\test-demo\backend\charts\line\line_014.png,,,text,text,numeric,numeric,6,7,6,13,6,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_014_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_014_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_014_ticks.json,
line,line_015.png,f:\program\test-demo\backend\charts\line\line_015.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_015_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_015_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_015_ticks.json,
line,line_016.png,f:\program\test-demo\backend\charts\line\line_016.png,,,text,text,numeric,numeric,4,7,4,13,4,13,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_016_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_016_with_grid.png,f:\program\test-demo\backend\evaluation\recheck_outputs\current_grid_full\line\line_016_ticks.json,
